dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone,dialect,id
XA,Xian,15,今年,今年 ,,tɕiẽ niã,tɕiẽ21 niã,tɕiẽ21niã,tɕiẽniã,Xian,XA
XA,Xian,16,明年,明年 ,,miŋ niã,miŋ24 niã,miŋ24niã,miŋniã,Xian,XA
XA,Xian,17,去年,年时个 ,,niã sɿ kɤ,niã24 sɿ kɤ,niã24sɹ̩kɤ,niãsɹ̩kɤ,Xian,XA
XA,Xian,18,明天,明儿 ,,miər,miər24,miər24,miər,Xian,XA
XA,Xian,19,昨天,夜个 ,,iɛ kɤ,iɛ53 kɤ,iɛ53kɤ,iɛkɤ,Xian,XA
XA,Xian,20,今天,今儿,,tɕiər,tɕiər21,tɕiər21,tɕiər,Xian,XA
XA,Xian,21,星期天,星期 ,,ɕiŋ tɕˈi,ɕiŋ21 tɕˈi,ɕiŋ21tɕʰi,ɕiŋtɕʰi,Xian,XA
XA,Xian,22,麦子,麦,,mei,mei21,mei21,mei,Xian,XA
XA,Xian,23,大米,大米 ,,ta mi,ta44 mi53,ta44mi53,tami,Xian,XA
XA,Xian,24,蚕豆,蚕豆 ,,tsˈã tou,tsˈã24 tou,tsʰã24tou,tsʰãtou,Xian,XA
XA,Xian,25,向日葵,向日葵 ,,ɕiaŋr kˈuei,ɕiaŋr4453 kˈuei24,ɕiaŋr4453kʰuei24,ɕiaŋrkʰuei,Xian,XA
XA,Xian,26,菠菜,菠菜 ,,po tsˈai,po21 tsˈai,po21tsʰai,potsʰai,Xian,XA
XA,Xian,27,卷心菜,莲花白 ,,liã xua pei,liã24 xua21 pei24,liã24xua21pei24,liãxuapei,Xian,XA
XA,Xian,28,西红柿,洋柿子 ,,iaŋ sɿ tsɿ,iaŋ24 sɿ44 tsɿ,iaŋ24sɹ̩44tsɹ̩,iaŋsɹ̩tsɹ̩,Xian,XA
XA,Xian,29,茄子,茄子 ,,tɕˈiɛ tsɿ,tɕˈiɛ24 tsɿ,tɕʰiɛ24tsɹ̩,tɕʰiɛtsɹ̩,Xian,XA
XA,Xian,30,白薯,红苕 ,,xuŋ ʂau,xuŋ24 ʂau24,xuŋ24ʂau24,xuŋʂau,Xian,XA
