beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
tʂɤr,t͡sər,t͡sɹ̩tɛ,kəʔli,tʂeikar,tiɔt͡sə,tʂɻ̩tiə,tʂɻ̩tʰatʰa,eie,koli,t͡sæʐʌʔ,diɪʔtaʔ,t͡siko,t͡sia,t͡səʔlɤ,t͡ɕiexər,kelei,t͡sɤni,t͡seita,tʂɤr,neitou,kotɔn,tʂɻ̩tʂa
nar,nər,atɛ,nɑli,neikar,laɔt͡sə,nətiə,latʰatʰa,keie,heli,uæʐʌʔ,itaʔ,hɯko,hia,vəʔlɤ,nɑxər,buɔta,nani,neita,uor,kɔtou,nɒtɔn,nɛtʂa
nar,nər,latɛ,nɑli,neikar,lakət͡sə,nAtiə,latata,ŋaike,lɑli,lɑʐʌʔ,sadifɑ̃,tiko,toui,nalɤ,nɑxər,ɲauduɔ,nani,nata,ata,pintou,nɒtɔn,atʂa
tʂɤkə,t͡seko,t͡sɹ̩ko,t͡ɕiəʔkoʔ,tʂeikɤ,tikə,tʂɻ̩kə,tʂɻ̩ikə,eke,kot͡sɑʔ,t͡sʌʔxuæ,diɪʔgəʔ,t͡sikai,t͡sitle,t͡sai,t͡ɕiekə,kikai,t͡sɤkuo,t͡seikɤ,tʂɻ̩kɤ,neikɔ,koko,tʂɻ̩kɔ
nakə,nako,ako,nɑkoʔ,neikɤ,lakə,nəkə,lɛikə,keke,heko,uʌʔxuæ,igəʔ,hɯkai,hitle,vai,nɑkə,hekai,nakuo,neikɤ,ukɤ,kɔkɔ,nɒko,nɛkɔ
nakə,nako,lako,nɑʔiəʔkoʔ,neiikɤ,xaiəʔkə,nAkə,laikə,ŋaike,lɑko,lɑiʌʔxuæ,ɦaligəʔ,tit͡sekkai,tot͡sitle,nakuai,neikə,ɲaukai,nakuo,nakɤ,aikɤ,pinkɔ,nɒiko,akɔ
t͡sənmoiɑŋ,naŋko,t͡sakoiaŋ,t͡ɕiəʔkəʔtʰɔ,t͡saiaŋ,t͡səniɑ̃,t͡sAkələ,t͡sə̃nm̩lɔ,ŋioŋŋe,lɔŋiɔŋ,t͡sɑtixuæ,nanəŋ,mĩʔsẽiõ,ant͡suãiũ,t͡saʔti,nənməiɑŋ,t͡sɹ̩nanaŋ,moiaŋ,t͡samukɤ,t͡sakɤɕiaŋ,tim,ikai,amə̃tʂɛ
uei,ko,ko,ɦui,uei,kə,,,ke,ko,,,,le,kuai,,kai,uei,kɤ,kɤ,wɐi,tʂɒ,kɔ
kɑŋ,t͡sʰu,t͡sʰu,kɑŋkɑŋ,tʂəŋ,t͡sʰu,t͡sʰu,t͡sʰu,t͡sʰɹ̩,kɔŋkɔŋ,t͡sʰəu,t͡sʰu,,t͡sʰɔ,t͡sʰu,t͡səŋ,t͡ɕʰøy,kʰakʰa,t͡sʰu,t͡sʰu,t͡sʰou,t͡sʰəɯ,t͡ɕʰy
tʂəŋxaur,ɕi,ɕi,kɑŋhɔ,tʂəŋxaur,sɹ̩,ɕi,ɕi,iu,t͡sɨnhɑu,sei,ɕi,,iu,ɕi,t͡səŋxɑur,sei,kaŋxau,ɕi,ɕi,sɐi,si,ɕj
